what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.wst.xml.ui,1.1.100.v201006030742,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1417103995191
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1417104005757
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1417104010025
activated,editor,org.eclipse.wst.html.ui,1.0.500.v201006030742,"org.eclipse.wst.html.core.htmlsource.source",1417104010143
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1417104010160
activated,editor,org.eclipse.wst.html.ui,1.0.500.v201006030742,"org.eclipse.wst.html.core.htmlsource.source",1417104012157
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1417104018270
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1417104018765
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1417104018793
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1417104018824
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1417104018854
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1417104018886
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1417104018916
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1417104018948
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1417104018977
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1417104019152
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1417104019346
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1417104019705
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1417104019964
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1417104022397
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1417104026041
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1417104029201
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1417104031438
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1417104033794
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1417104033810
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1417104036574
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1417104036588
executed,command,org.eclipse.wst.server.ui,1.1.203.v20100601,"org.eclipse.wst.server.launchShortcut.run",1417104038213
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1417104038240
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1417104042437
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1417104204985
activated,editor,org.eclipse.wst.html.ui,1.0.500.v201006030742,"org.eclipse.wst.html.core.htmlsource.source",1417104207257
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1417104215559
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1417104271759
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1417104276936
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1417104382246
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1417104387633
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1417104419210
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1417104424813
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1417104447447
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1417104451429
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1417104455754
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1417104456008
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1417104460917
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1417104471309
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1417104474877
