what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1417113107282
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1417113145769
activated,editor,org.eclipse.jst.jsp.ui,1.1.500.v201006030742,"org.eclipse.jst.jsp.core.jspsource.source",1417113145798
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1417113222269
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1417113272779
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.findReplace",1417113275284
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1417113275306
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1417113288559
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1417113293378
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1417113293539
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1417113309891
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1417113317310
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1417113338304
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1417113339224
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1417113343475
executed,command,org.eclipse.wst.server.ui,1.1.203.v20100601,"org.eclipse.wst.server.launchShortcut.run",1417113344968
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1417113344981
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1417113347187
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1417113362183
activated,editor,org.eclipse.jst.jsp.ui,1.1.500.v201006030742,"org.eclipse.jst.jsp.core.jspsource.source",1417113363956
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1417113376110
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1417113531137
executed,command,org.eclipse.wst.sse.ui,1.2.0.v201006030742,"org.eclipse.wst.sse.ui.toggle.comment",1417113555744
error,log,,,"File not found: '/Login1/__2F_Login1_2F_WebContent_2F_Home_2E_jsp.java'",1417113629042
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1417113637538
opened,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1417113639396
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1417113639459
activated,editor,org.eclipse.jst.jsp.ui,1.1.500.v201006030742,"org.eclipse.jst.jsp.core.jspsource.source",1417113658916
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1417113665900
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1417113677232
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1417113689024
activated,editor,org.eclipse.jst.jsp.ui,1.1.500.v201006030742,"org.eclipse.jst.jsp.core.jspsource.source",1417113698548
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1417113710838
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1417113739631
activated,editor,org.eclipse.jst.jsp.ui,1.1.500.v201006030742,"org.eclipse.jst.jsp.core.jspsource.source",1417113746886
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1417113755763
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1417113757577
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1417113767123
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1417113781395
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1417113786613
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1417113795712
no handler,command,org.eclipse.jdt.debug.ui,3.5.0.v20100602-0830,"org.eclipse.jdt.debug.ui.commands.ForceReturn",1417113799009
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1417113802797
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1417113805180
