what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.delete.line",1417109413593
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.delete.line",1417109413814
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.delete.line",1417109414295
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.delete.line",1417109415070
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.saveAll",1417109418677
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1417109426789
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1417109664890
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1417109667180
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.cut",1417109672231
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1417109676237
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.delete.line",1417109678218
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1417109680580
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1417109687209
activated,view,org.eclipse.wst.server.ui,1.1.203.v20100601,"org.eclipse.wst.server.ui.ServersView",1417109688482
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1417109691195
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1417109692506
executed,command,org.eclipse.wst.server.ui,1.1.203.v20100601,"org.eclipse.wst.server.run",1417109695758
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1417109696421
activated,view,org.eclipse.wst.server.ui,1.1.203.v20100601,"org.eclipse.wst.server.ui.ServersView",1417109698060
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1417109700303
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1417109702996
executed,command,org.eclipse.wst.server.ui,1.1.203.v20100601,"org.eclipse.wst.server.launchShortcut.run",1417109704715
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1417109704735
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1417109706574
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1417109728041
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1417109731517
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1417109732567
executed,command,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.edit.text.java.toggle.comment",1417109740678
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1417109742593
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1417109764224
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1417109770010
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1417109772351
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1417109774182
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1417109774197
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1417109775603
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1417109781135
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1417109787028
activated,editor,org.eclipse.wst.html.ui,1.0.500.v201006030742,"org.eclipse.wst.html.core.htmlsource.source",1417109797710
activated,editor,org.eclipse.jst.jsp.ui,1.1.500.v201006030742,"org.eclipse.jst.jsp.core.jspsource.source",1417109800492
activated,editor,org.eclipse.jst.jsp.ui,1.1.500.v201006030742,"org.eclipse.jst.jsp.core.jspsource.source",1417109802513
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.delete.line",1417109812980
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.delete.line",1417109813186
no handler,command,org.eclipse.jdt.debug.ui,3.5.0.v20100602-0830,"org.eclipse.jdt.debug.ui.commands.ForceReturn",1417109814468
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1417109816445
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1417109822901
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1417109827716
executed,command,org.eclipse.ui.ide,3.6.0.I20100601-0800,"org.eclipse.ui.project.cleanAction",1417109829443
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1417109829457
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1417109853477
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1417109867092
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1417109871704
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1417109873787
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1417109873808
executed,command,org.eclipse.wst.server.ui,1.1.203.v20100601,"org.eclipse.wst.server.launchShortcut.run",1417109875629
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1417109875649
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1417109879996
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1417110010005
activated,editor,org.eclipse.jst.jsp.ui,1.1.500.v201006030742,"org.eclipse.jst.jsp.core.jspsource.source",1417110015515
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1417110018742
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1417110062266
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1417110075738
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1417110083976
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1417110099924
