what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1417179851766
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.cut",1417179911745
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1417179913774
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.delete.line",1417179916618
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.delete.line",1417179916866
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.delete.line",1417179917146
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.delete.line",1417179917490
activated,editor,org.eclipse.wst.html.ui,1.0.500.v201006030742,"org.eclipse.wst.html.core.htmlsource.source",1417179934160
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1417179946302
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1417179954233
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1417179963473
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1417179977174
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1417179984859
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1417180021477
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1417180023132
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1417180030266
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1417180051544
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1417180053489
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1417180070381
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1417180075023
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1417180077129
opened,view,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views.PropertySheet",1417180081262
activated,view,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views.PropertySheet",1417180081304
opened,view,org.eclipse.ui.ide,3.6.0.I20100601-0800,"org.eclipse.ui.views.AllMarkersView",1417180083035
activated,view,org.eclipse.ui.ide,3.6.0.I20100601-0800,"org.eclipse.ui.views.AllMarkersView",1417180083053
activated,view,org.eclipse.wst.server.ui,1.1.203.v20100601,"org.eclipse.wst.server.ui.ServersView",1417180085028
started,bundle,org.eclipse.ui.views.properties.tabbed,3.5.100.I20100509-0800,"org.eclipse.ui.views.properties.tabbed",1417180085046
executed,command,org.eclipse.wst.server.ui,1.1.203.v20100601,"org.eclipse.wst.server.stop",1417180086897
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1417180087294
activated,view,org.eclipse.wst.server.ui,1.1.203.v20100601,"org.eclipse.wst.server.ui.ServersView",1417180088827
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1417180088906
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1417180093880
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1417180099657
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1417180104195
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1417180104438
executed,command,org.eclipse.wst.server.ui,1.1.203.v20100601,"org.eclipse.wst.server.launchShortcut.run",1417180106493
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1417180106512
activated,view,org.eclipse.wst.server.ui,1.1.203.v20100601,"org.eclipse.wst.server.ui.ServersView",1417180106656
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1417180107166
activated,view,org.eclipse.wst.server.ui,1.1.203.v20100601,"org.eclipse.wst.server.ui.ServersView",1417180108888
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1417180110882
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1417180116375
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1417180145959
activated,editor,org.eclipse.wst.html.ui,1.0.500.v201006030742,"org.eclipse.wst.html.core.htmlsource.source",1417180160248
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1417180195632
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1417180196885
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1417180205832
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1417180218729
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1417180220369
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1417180225131
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1417180257632
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1417180260924
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1417180264042
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1417180264234
executed,command,org.eclipse.wst.server.ui,1.1.203.v20100601,"org.eclipse.wst.server.launchShortcut.run",1417180271256
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1417180271275
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1417180273066
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1417180276755
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1417180280898
